,brand_name,shirt_name,price,percentageoff,flipkart_assured,deal
0,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹278,81% off,,Hot Deal
1,RODEIZ,Men Slim Fit Striped Spread Collar Casual Shirt,₹260,82% off,,
2,METRONAUT,Men Regular Fit Printed Spread Collar Casual Shirt,₹299,80% off,,Hot Deal
3,HKV FASHION,Men Regular Fit Striped Spread Collar Casual Shirt,₹240,87% off,,Hot Deal
4,CAMPUS SUTRA,Men Solid Round Neck Polyester Black T-Shirt,₹408,65% off,,Only few left
5,METRONAUT,Men Regular Fit Solid Spread Collar Casual Shirt,₹276,80% off,,Hot Deal
6,BRIGHTKRAFTS,Men Printed Round Neck Cotton Blend Beige T-Shirt,₹199,80% off,,
7,annnackel,Men Graphic Print Round Neck Reversible Pure Cotton Bla...,₹178,88% off,,Hot Deal
8,Kook N Keech Disney,Men Oversized Fit Printed Party Shirt,₹569,75% off,,Only few left
9,Magneto,Men Printed Round Neck Pure Cotton Black T-Shirt,₹278,78% off,,Hot Deal
10,COMBRAIDED,Men Regular Fit Self Design Cut Away Collar Casual Shir...,₹258,87% off,,Hot Deal
11,SGA FASION,Men Printed Round Neck Reversible Cotton Blend Black T-...,₹385,61% off,,Only 5 left
12,TripBroz,Men Printed Round Neck Cotton Blend Red T-Shirt,₹198,86% off,,Hot Deal
13,METRONAUT,Men Regular Fit Solid Spread Collar Casual Shirt,₹273,80% off,,Hot Deal
14,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹265,82% off,,Hot Deal
15,Jai Textiles,Men Slim Fit Checkered Spread Collar Casual Shirt,₹263,86% off,,Hot Deal
16,javier,Men Regular Fit Solid Button Down Collar Casual Shirt,₹302,76% off,,Hot Deal
17,Benny Brooks,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹325,70% off,,Only few left
18,Leotude,Men Printed Round Neck Cotton Blend Green T-Shirt,₹299,72% off,,Only few left
19,INDICLUB,Men Regular Fit Self Design Spread Collar Formal Shirt,₹416,58% off,,Only few left
20,Paralians,Men Relaxed Fit Fit Self Design Mandarin Collar Casual ...,₹167,87% off,,Hot Deal
21,Povaxpo,Men Graphic Print Round Neck Cotton Blend Navy Blue T-S...,₹241,75% off,,Only few left
22,METRONAUT,Men Regular Fit Printed Spread Collar Casual Shirt,₹299,80% off,,Hot Deal
23,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹265,82% off,,Hot Deal
24,THEBOYS,Men Printed Round Neck Cotton Blend Purple T-Shirt,₹163,85% off,,Only few left
25,Kook N Keech,Men Striped Round Neck Pure Cotton Black T-Shirt,₹273,69% off,,Only few left
26,ERAGON FASHION,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹175,82% off,,Only few left
27,COMBRAIDED,Men Regular Fit Self Design Cut Away Collar Casual Shir...,₹258,87% off,,Hot Deal
28,RODEIZ,Men Slim Fit Striped Spread Collar Casual Shirt,₹260,82% off,,
29,BEING WANTED,"Men Solid Round Neck Pure Cotton Black, White T-Shirt",₹431,74% off,,Hot Deal
30,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹278,81% off,,Hot Deal
31,TripBroz,Men Solid Round Neck Cotton Blend Black T-Shirt,₹180,88% off,,Only few left
32,Jai Textiles,Men Slim Fit Checkered Mandarin Collar Casual Shirt,₹360,81% off,,Only few left
33,Jump Cuts,Men Printed Polo Neck Cotton Blend Beige T-Shirt,₹389,78% off,,Only few left
34,Force,Men Printed Round Neck Cotton Blend Black T-Shirt,₹222,88% off,,Hot Deal
35,FUBAR,Men Slim Fit Solid Mandarin Collar Casual Shirt,₹243,87% off,,Hot Deal
36,HERE&NOW,Men Regular Fit Solid Casual Shirt,₹539,71% off,,
37,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹278,81% off,,Hot Deal
38,HADAR,Men Self Design Round Neck Cotton Blend Black T-Shirt,₹202,89% off,,Only few left
39,RODEIZ,Men Slim Fit Striped Spread Collar Casual Shirt,₹255,76% off,,Hot Deal
40,RODEIZ,Men Slim Fit Striped Spread Collar Casual Shirt,₹255,76% off,,Hot Deal
41,annnackel,Men Printed Round Neck Cotton Blend Black T-Shirt,₹224,85% off,,Only few left
42,DEEMOON,Men Regular Fit Solid Button Down Collar Casual Shirt,₹455,81% off,,Only few left
43,Snitch,Men Relaxed Fit Fit Solid Spread Collar Casual Shirt,₹999,50% off,,"Buy 2 items, save extra 5%"
44,Crazybee tshirts,Men Graphic Print Round Neck Cotton Blend Multicolor T-...,₹216,78% off,,Hot Deal
45,Magneto,Men Printed Round Neck Pure Cotton Red T-Shirt,₹280,78% off,,Hot Deal
46,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹265,82% off,,Hot Deal
47,RPGARMENT,Men Solid Round Neck Cotton Blend Black T-Shirt,₹216,81% off,,Hot Deal
48,SRGI,Men Slim Fit Striped Casual Shirt,₹217,85% off,,Hot Deal
49,Magneto,Men Printed Round Neck Cotton Blend Black T-Shirt,₹280,71% off,,Only few left
50,Conway,Men Printed Round Neck Cotton Blend Black T-Shirt,₹216,67% off,,Hot Deal
51,WOXEN,Men Regular Fit Checkered Spread Collar Casual Shirt,₹352,85% off,,Hot Deal
52,javier,Men Regular Fit Solid Button Down Collar Casual Shirt,₹301,76% off,,Hot Deal
53,HipHopTrends,Men Self Design Round Neck Cotton Blend Red T-Shirt,₹225,54% off,,Only few left
54,ERAGON FASHION,Men Graphic Print Round Neck Cotton Blend Purple T-Shir...,₹210,78% off,,Hot Deal
55,BLUE SQUAD,Men Slim Fit Solid Spread Collar Casual Shirt,₹556,72% off,,Hot Deal
56,EIGHTEEN UP,Men Slim Fit Checkered Spread Collar Casual Shirt,₹360,81% off,,Only few left
57,Magneto,Men Printed Round Neck Cotton Blend Brown T-Shirt,₹337,66% off,,Only few left
58,annnackel,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹178,88% off,,Only few left
59,annnackel,Men Typography Cowl Neck Pure Cotton Black T-Shirt,₹199,86% off,,Hot Deal
60,METRONAUT,Men Regular Fit Solid Spread Collar Casual Shirt,₹358,82% off,,"Buy 2 items, save extra 5%"
61,Fashion Tex,Men Self Design Round Neck Cotton Blend Black T-Shirt,₹203,59% off,,Only few left
62,HADAR,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹236,88% off,,Only few left
63,UrGear,Men Solid Round Neck Cotton Blend Red T-Shirt,₹212,78% off,,
64,Fabfashion,Men Printed Round Neck Cotton Blend Purple T-Shirt,₹203,79% off,,Only few left
65,WOXEN,Men Regular Fit Checkered Spread Collar Casual Shirt,₹340,86% off,,Hot Deal
66,METRONAUT,Men Regular Fit Self Design Spread Collar Casual Shirt,₹266,82% off,,Hot Deal
67,UNNIBERRY,Men Striped Polo Neck Cotton Blend Light Blue T-Shirt,₹378,74% off,,Hot Deal
68,Jai Textiles,Men Slim Fit Checkered Spread Collar Casual Shirt,₹340,82% off,,Hot Deal
69,MAA UMA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹385,70% off,,Hot Deal
70,HADAR,Men Graphic Print Round Neck Cotton Blend Brown T-Shirt,₹240,87% off,,Hot Deal
